,,,,,,,
용어,카테고리,대분류,중분류,소분류,의미,data 조건,비고
버핏 1회차,FT,신규,1회차,결제자,버핏서울 전 지점 통틀어 첫 이용 회원,체험/정규 포함,기존 없었음 (신규 지표)
지점 1회차,FT,신규,1회차,결제자,해당 지점 첫 이용 회원 (타지점 경험 있을 수 있음),체험/정규 포함,기존: BS 1회차
카테고리 1회차,FT,신규,1회차,결제자,해당 지점+카테고리 첫 이용 (지점 내 타 카테고리 경험 있음),체험/정규 포함,기존: BS N회차
기간권 재등록 대상자,FT,재등록,기간권,대상자,당월 기간권 종료 예정 회원 수,종료월 = 당월 or 익월 or 전월 / 정규만 / 구독 제외,재등록률의 분모
기간권 기결제자,FT,재등록,기간권,기결제자,대상자 중 이미 다음 기간권을 결제한 회원,다음 결제일이 당월 이전인 건,
기간권 재등록 결제자,FT,재등록,기간권,결제자,당월 기간권 재등록 결제 건수,신재휴체=재등록 / 전당익미 IN (당월·전월·익월) / 구독 제외,
기간권 재등록률,FT,재등록,기간권,재등록률,(결제자 + 기결제자) ÷ 대상자 × 100,,역산출: 대상자 × 재등록률 − 기결제자 (음수 시 0)
구독 재등록 대상자,FT,재등록,구독권,대상자,당월 구독 갱신 예정 회원 수,당월 종료 구독 회원 (이용상태 기준),
구독 유지 결제자,FT,재등록,구독권,유지자,구독 재결제일에 결제하여 구독 유지한 회원,다음 결제(mbs2) 존재 / 상품명 LIKE '구독' / 지연일수 ≤ 1일,
구독 복귀 결제자,FT,재등록,구독권,복귀자,구독 재결제일 이후에 구독 결제한 회원,다음 결제(mbs2) 존재 / 상품명 LIKE '구독' / 지연일수 > 1일,당월복귀(같은 월) · 익월복귀(+1개월) · 휴면복귀(+2개월 이상)
구독권 → 기간권 전환자,FT,재등록,구독권,기간권 전환자,구독권에서 기간권으로 전환한 회원,다음 결제(mbs2) 상품명에 '구독' 미포함 / 카테고리=피트니스 / 체험정규=정규,
구독 재등록률,FT,재등록,구독권,재등록률,(유지 + 복귀 + 전환) ÷ 대상자 × 100,,
FT 휴면,FT,휴면,,결제자,직전 종료일로부터 2개월 이상 공백 후 결제,신재휴체=휴면,
FT 미래,FT,미래,,결제자,종료 2개월 이상 남은 상태에서 선결제,신재휴체=재등록 / 전당익미=미래결제,
FT 일일권,FT,일일권,,결제자,피트니스 1일 이용권 결제자,raw_data_revenue_cash / 상품명 LIKE '1일',회차 미반영 (체험정규=NULL)
FT 법인 제휴,FT,법인,제휴,,회원사 임직원 개인 결제,,
FT 법인 계약,FT,법인,계약,,회원사 법인 직접 결제,,*현대모비스의 경우 개인+법인 결제 혼재
FT 법인 웰빙,FT,법인,웰빙,매출,웰빙클럽 정산액,,
PT 체험 1회차,PT,체험권,1회차,결제자,해당 지점 PT 첫 이용 체험권 결제자,카테고리=PT / 체험정규=체험 / category 회차=1,
PT 체험 N회차,PT,체험권,N회차,결제자,PT 체험권 재구매자 (이전 PT 이용 경험 있음),카테고리=PT / 체험정규=체험 / category 회차>1,
PT 정규 1회차,PT,신규,1회차,결제자,PT 정규권 첫 결제 (해당 지점 첫 이용 / PT체험 이력 없음),카테고리=PT / 체험정규=정규 / 신재휴체=신규 / lifetime 회차=1,
